,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,a,s
50,AUDUSD,15,0.0001,76,29,1002,75,162,0.32,2.620689655,840.297931,4.6,AUDUSD,15,0.0001,76,29,789,39,75,0.34,2.620689655,703.0262069,213,1543.324138
56,AUDUSD,15,0.0001,57,46,1368,116,114,0.5,1.239130435,847.5652174,5.5,AUDUSD,15,0.0001,57,46,1030,56,47,0.54,1.239130435,689.2043478,338,1536.769565
74,AUDUSD,15,0.0001,76,31,1081,75,149,0.33,2.451612903,874.563871,4.31,AUDUSD,15,0.0001,76,31,763,39,71,0.35,2.451612903,654.7032258,318,1529.267097
29,AUDUSD,15,0.0001,56,29,1013,117,191,0.38,1.931034483,743.3324138,3.3,AUDUSD,15,0.0001,56,29,949,62,87,0.42,1.931034483,769.6717241,64,1513.004138
66,AUDUSD,15,0.0001,67,21,968,95,257,0.27,3.19047619,833.8628571,2.76,AUDUSD,15,0.0001,67,21,725,50,125,0.29,3.19047619,670.797619,243,1504.660476
89,AUDUSD,15,0.0001,57,45,1392,116,116,0.5,1.266666667,881.6,6,AUDUSD,15,0.0001,57,45,918,54,48,0.53,1.266666667,616.284,474,1497.884
43,AUDUSD,15,0.0001,62,27,956,106,208,0.34,2.296296296,746.3881481,3.26,AUDUSD,15,0.0001,62,27,853,56,97,0.37,2.296296296,724.7340741,103,1471.122222
41,AUDUSD,15,0.0001,55,29,1006,119,191,0.38,1.896551724,725.0137931,2.92,AUDUSD,15,0.0001,55,29,916,62,86,0.42,1.896551724,729.6413793,90,1454.655172
80,AUDUSD,15,0.0001,76,32,976,76,150,0.34,2.375,788.12,4.72,AUDUSD,15,0.0001,76,32,736,40,72,0.36,2.375,629.28,240,1417.4
166,AUDUSD,15,0.0001,77,31,1079,74,149,0.33,2.483870968,884.4319355,4.64,AUDUSD,15,0.0001,77,31,617,37,72,0.34,2.483870968,521.0664516,462,1405.498387
44,AUDUSD,15,0.0001,57,29,930,114,192,0.37,1.965517241,676.3344828,2.82,AUDUSD,15,0.0001,57,29,897,60,87,0.41,1.965517241,722.8582759,33,1399.192759
125,AUDUSD,15,0.0001,80,31,1007,68,143,0.32,2.580645161,831.5870968,4.52,AUDUSD,15,0.0001,80,31,643,34,67,0.34,2.580645161,564.1806452,364,1395.767742
71,AUDUSD,15,0.0001,71,34,935,85,150,0.36,2.088235294,702.9,3.8,AUDUSD,15,0.0001,71,34,812,44,68,0.39,2.088235294,661.3023529,123,1364.202353
78,AUDUSD,15,0.0001,72,33,888,82,152,0.35,2.181818182,678.1090909,3.75,AUDUSD,15,0.0001,72,33,780,42,68,0.38,2.181818182,646.6909091,108,1324.8
149,AUDUSD,15,0.0001,79,31,956,69,145,0.32,2.548387097,779.6025806,4.2,AUDUSD,15,0.0001,79,31,626,35,69,0.34,2.548387097,542.3987097,330,1322.00129
139,AUDUSD,15,0.0001,75,31,944,75,151,0.33,2.419354839,753.6774194,3.98,AUDUSD,15,0.0001,75,31,649,38,71,0.35,2.419354839,549.5564516,295,1303.233871
143,AUDUSD,15,0.0001,69,17,833,85,296,0.22,4.058823529,743.82,1.92,AUDUSD,15,0.0001,69,17,587,43,140,0.23,4.058823529,547.9817647,246,1291.801765
209,AUDUSD,15,0.0001,77,32,975,75,150,0.33,2.40625,774.2109375,3.97,AUDUSD,15,0.0001,77,32,590,38,73,0.34,2.40625,482.69375,385,1256.904688
221,AUDUSD,15,0.0001,56,27,1050,120,210,0.36,2.074074074,784,2.88,AUDUSD,15,0.0001,56,27,608,61,104,0.37,2.074074074,466.5837037,442,1250.583704
168,AUDUSD,15,0.0001,74,31,924,77,154,0.33,2.387096774,727.8735484,3.65,AUDUSD,15,0.0001,74,31,623,39,73,0.35,2.387096774,520.5064516,301,1248.38
170,AUDUSD,15,0.0001,76,25,850,75,194,0.28,3.04,723.52,3.28,AUDUSD,15,0.0001,76,25,589,39,95,0.29,3.04,519.2624,261,1242.7824
174,AUDUSD,15,0.0001,57,27,942,116,210,0.36,2.111111111,715.92,3.24,AUDUSD,15,0.0001,57,27,663,59,100,0.37,2.111111111,517.8766667,279,1233.796667
112,AUDUSD,15,0.0001,67,20,764,92,270,0.25,3.35,639.85,1.75,AUDUSD,15,0.0001,67,20,643,49,132,0.27,3.35,581.5935,121,1221.4435
91,AUDUSD,15,0.0001,62,24,756,102,232,0.31,2.583333333,605.43,2.66,AUDUSD,15,0.0001,62,24,722,55,112,0.33,2.583333333,615.505,34,1220.935
352,AUDUSD,15,0.0001,78,31,997,72,149,0.33,2.516129032,827.8316129,4.97,AUDUSD,15,0.0001,78,31,467,35,73,0.32,2.516129032,376.0103226,530,1203.841936
175,AUDUSD,15,0.0001,66,21,786,94,258,0.27,3.142857143,666.9771429,2.49,AUDUSD,15,0.0001,66,21,588,49,126,0.28,3.142857143,517.44,198,1184.417143
225,AUDUSD,15,0.0001,71,27,868,86,194,0.31,2.62962963,707.5807407,3.38,AUDUSD,15,0.0001,71,27,552,42,90,0.32,2.62962963,464.4977778,316,1172.078519
176,AUDUSD,15,0.0001,63,31,873,98,171,0.36,2.032258065,638.6980645,2.84,AUDUSD,15,0.0001,63,31,670,50,80,0.38,2.032258065,517.4129032,203,1156.110968
199,AUDUSD,15,0.0001,74,26,806,78,191,0.29,2.846153846,665.26,3,AUDUSD,15,0.0001,74,26,572,39,89,0.3,2.846153846,488.4,234,1153.66
129,AUDUSD,15,0.0001,61,24,752,104,233,0.31,2.541666667,592.5133333,2.35,AUDUSD,15,0.0001,61,24,667,55,112,0.33,2.541666667,559.44625,85,1151.959583
188,AUDUSD,15,0.0001,76,28,788,73,170,0.3,2.714285714,641.6571429,3.2,AUDUSD,15,0.0001,76,28,572,37,80,0.32,2.714285714,496.8228571,216,1138.48
145,AUDUSD,15,0.0001,65,32,800,96,170,0.36,2.03125,585,2.92,AUDUSD,15,0.0001,65,32,689,49,78,0.39,2.03125,545.8171875,111,1130.817188
121,AUDUSD,15,0.0001,63,21,693,98,261,0.27,3,561.33,1.68,AUDUSD,15,0.0001,63,21,651,52,125,0.29,3,566.37,42,1127.7
144,AUDUSD,15,0.0001,64,21,706,97,262,0.27,3.047619048,580.9371429,1.95,AUDUSD,15,0.0001,64,21,618,51,126,0.29,3.047619048,546.1942857,88,1127.131429
169,AUDUSD,15,0.0001,73,34,798,78,144,0.35,2.147058824,599.6735294,3.45,AUDUSD,15,0.0001,73,34,637,39,65,0.38,2.147058824,519.7170588,161,1119.390588
159,AUDUSD,15,0.0001,66,32,796,94,169,0.36,2.0625,591.03,3.28,AUDUSD,15,0.0001,66,32,672,48,78,0.38,2.0625,526.68,124,1117.71
160,AUDUSD,15,0.0001,73,33,784,79,151,0.34,2.212121212,589.6630303,3.04,AUDUSD,15,0.0001,73,33,643,40,69,0.37,2.212121212,526.2857576,141,1115.948788
260,AUDUSD,15,0.0001,75,27,813,76,181,0.3,2.777777778,677.5,3.6,AUDUSD,15,0.0001,75,27,507,37,84,0.31,2.777777778,436.5833333,306,1114.083333
235,AUDUSD,15,0.0001,54,26,870,123,222,0.36,2.076923077,650.4923077,2.8,AUDUSD,15,0.0001,54,26,592,62,106,0.37,2.076923077,454.9292308,278,1105.421539
399,AUDUSD,15,0.0001,78,32,926,73,149,0.33,2.4375,744.85125,4.3,AUDUSD,15,0.0001,78,32,440,36,74,0.33,2.4375,353.925,486,1098.77625
210,AUDUSD,15,0.0001,75,28,762,74,171,0.3,2.678571429,612.3214286,2.9,AUDUSD,15,0.0001,75,28,563,37,79,0.32,2.678571429,482.5714286,199,1094.892857
217,AUDUSD,15,0.0001,75,32,793,75,151,0.33,2.34375,613.3359375,3.31,AUDUSD,15,0.0001,75,32,578,38,71,0.35,2.34375,474.140625,215,1087.476563
204,AUDUSD,15,0.0001,67,25,748,94,222,0.3,2.68,601.392,2.6,AUDUSD,15,0.0001,67,25,583,49,108,0.31,2.68,484.3564,165,1085.7484
156,AUDUSD,15,0.0001,71,55,895,80,87,0.48,1.290909091,554.5745455,5.48,AUDUSD,15,0.0001,71,55,789,39,36,0.52,1.290909091,529.6341818,106,1084.208727
195,AUDUSD,15,0.0001,64,31,783,97,175,0.36,2.064516129,581.9458065,3.2,AUDUSD,15,0.0001,64,31,627,50,83,0.38,2.064516129,491.8916129,156,1073.837419
154,AUDUSD,15,0.0001,65,25,690,96,222,0.3,2.6,538.2,2,AUDUSD,15,0.0001,65,25,640,51,107,0.32,2.6,532.48,50,1070.68
375,AUDUSD,15,0.0001,74,27,858,78,182,0.3,2.740740741,705.4666667,3.3,AUDUSD,15,0.0001,74,27,443,37,85,0.3,2.740740741,364.2444444,415,1069.711111
261,AUDUSD,15,0.0001,75,25,750,76,198,0.28,3,630,3,AUDUSD,15,0.0001,75,25,500,39,97,0.29,3,435,250,1065
229,AUDUSD,15,0.0001,74,28,752,76,174,0.3,2.642857143,596.2285714,2.6,AUDUSD,15,0.0001,74,28,544,38,81,0.32,2.642857143,460.0685714,208,1056.297143
339,AUDUSD,15,0.0001,73,31,858,78,156,0.33,2.35483871,666.7490323,3.32,AUDUSD,15,0.0001,73,31,480,38,74,0.34,2.35483871,384.3096774,378,1051.05871
298,AUDUSD,15,0.0001,77,25,771,73,194,0.27,3.08,641.1636,2.54,AUDUSD,15,0.0001,77,25,474,37,95,0.28,3.08,408.7776,297,1049.9412
322,AUDUSD,15,0.0001,76,27,791,74,179,0.29,2.814814815,645.6903704,2.87,AUDUSD,15,0.0001,76,27,468,36,84,0.3,2.814814815,395.2,323,1040.89037
196,AUDUSD,15,0.0001,66,27,696,94,204,0.32,2.444444444,544.4266667,2.76,AUDUSD,15,0.0001,66,27,591,47,93,0.34,2.444444444,491.1866667,105,1035.613333
346,AUDUSD,15,0.0001,73,27,799,79,184,0.3,2.703703704,648.0777778,3,AUDUSD,15,0.0001,73,27,452,38,86,0.31,2.703703704,378.842963,347,1026.920741
245,AUDUSD,15,0.0001,65,31,781,95,174,0.35,2.096774194,573.1532258,2.6,AUDUSD,15,0.0001,65,31,578,48,82,0.37,2.096774194,448.416129,203,1021.569355
194,AUDUSD,15,0.0001,67,22,642,92,251,0.27,3.045454545,527.8990909,2.03,AUDUSD,15,0.0001,67,22,577,49,123,0.28,3.045454545,492.0236364,65,1019.922727
244,AUDUSD,15,0.0001,65,21,673,95,262,0.27,3.095238095,562.4357143,2.22,AUDUSD,15,0.0001,65,21,518,49,127,0.28,3.095238095,448.9333333,155,1011.369048
381,AUDUSD,15,0.0001,74,25,772,78,200,0.28,2.96,639.8336,2.72,AUDUSD,15,0.0001,74,25,436,39,98,0.28,2.96,361.3568,336,1001.1904
349,AUDUSD,15,0.0001,71,31,800,82,162,0.34,2.290322581,622.9677419,3.68,AUDUSD,15,0.0001,71,31,484,40,76,0.34,2.290322581,376.8954839,316,999.8632258
297,AUDUSD,15,0.0001,57,47,969,111,114,0.49,1.212765957,575.8334043,3.96,AUDUSD,15,0.0001,57,47,661,52,49,0.51,1.212765957,408.8355319,308,984.6689362
268,AUDUSD,15,0.0001,56,26,750,116,221,0.34,2.153846154,549.2307692,1.88,AUDUSD,15,0.0001,56,26,552,60,108,0.36,2.153846154,428.0123077,198,977.2430769
305,AUDUSD,15,0.0001,67,17,659,89,312,0.22,3.941176471,571.3917647,1.48,AUDUSD,15,0.0001,67,17,447,46,155,0.23,3.941176471,405.1923529,212,976.5841176
233,AUDUSD,15,0.0001,66,25,654,94,222,0.3,2.64,517.968,2.3,AUDUSD,15,0.0001,66,25,559,49,107,0.31,2.64,457.4856,95,975.4536
506,AUDUSD,15,0.0001,54,24,882,123,240,0.34,2.25,674.73,2.52,AUDUSD,15,0.0001,54,24,390,61,121,0.34,2.25,298.35,492,973.08
295,AUDUSD,15,0.0001,74,32,728,76,153,0.33,2.3125,555.555,2.98,AUDUSD,15,0.0001,74,32,508,38,72,0.35,2.3125,411.1625,220,966.7175
304,AUDUSD,15,0.0001,66,31,744,93,174,0.35,2.129032258,554.4,2.95,AUDUSD,15,0.0001,66,31,529,47,83,0.36,2.129032258,405.4529032,215,959.8529032
301,AUDUSD,15,0.0001,57,48,903,111,113,0.5,1.1875,536.15625,4.5,AUDUSD,15,0.0001,57,48,660,52,48,0.52,1.1875,407.55,243,943.70625
237,AUDUSD,15,0.0001,66,20,592,92,274,0.25,3.3,488.4,1.5,AUDUSD,15,0.0001,66,20,508,48,133,0.27,3.3,452.628,84,941.028
317,AUDUSD,15,0.0001,76,24,656,74,207,0.26,3.166666667,540.1066667,2,AUDUSD,15,0.0001,76,24,464,38,101,0.27,3.166666667,396.72,192,936.8266667
488,AUDUSD,15,0.0001,56,24,808,116,237,0.33,2.333333333,622.16,2.4,AUDUSD,15,0.0001,56,24,400,59,121,0.33,2.333333333,308,408,930.16
280,AUDUSD,15,0.0001,73,28,648,76,175,0.3,2.607142857,506.8285714,2.3,AUDUSD,15,0.0001,73,28,506,38,81,0.32,2.607142857,422.1485714,142,928.9771428
511,AUDUSD,15,0.0001,56,45,1040,115,120,0.49,1.244444444,634.1688889,4.49,AUDUSD,15,0.0001,56,45,482,52,54,0.49,1.244444444,293.9128889,558,928.0817778
455,AUDUSD,15,0.0001,56,46,1012,115,118,0.49,1.217391304,603.68,3.98,AUDUSD,15,0.0001,56,46,530,53,53,0.5,1.217391304,322.6086957,482,926.2886957
290,AUDUSD,15,0.0001,70,55,830,81,88,0.48,1.272727273,507.0545455,5,AUDUSD,15,0.0001,70,55,640,39,38,0.51,1.272727273,415.4181818,190,922.4727273
462,AUDUSD,15,0.0001,54,27,837,123,215,0.36,2,602.64,2.16,AUDUSD,15,0.0001,54,27,432,60,104,0.37,2,319.68,405,922.32
231,AUDUSD,15,0.0001,71,53,751,80,93,0.46,1.339622642,462.7860377,4.04,AUDUSD,15,0.0001,71,53,684,38,38,0.5,1.339622642,458.1509434,67,920.9369811
323,AUDUSD,15,0.0001,56,28,728,115,204,0.36,2,524.16,2.24,AUDUSD,15,0.0001,56,28,532,60,101,0.37,2,393.68,196,917.84
337,AUDUSD,15,0.0001,41,25,784,174,254,0.41,1.64,527.1616,2.06,AUDUSD,15,0.0001,41,25,560,85,117,0.42,1.64,385.728,224,912.8896
530,AUDUSD,15,0.0001,55,27,850,121,215,0.36,2.037037037,623.3333333,2.52,AUDUSD,15,0.0001,55,27,384,60,108,0.36,2.037037037,281.6,466,904.9333333
293,AUDUSD,15,0.0001,40,26,754,182,251,0.42,1.538461538,487.2,1.72,AUDUSD,15,0.0001,40,26,610,90,115,0.44,1.538461538,412.9230769,144,900.1230769
306,AUDUSD,15,0.0001,54,28,688,118,203,0.37,1.928571429,490.9371429,2.34,AUDUSD,15,0.0001,54,28,552,60,96,0.38,1.928571429,404.5371429,136,895.4742858
365,AUDUSD,15,0.0001,67,24,639,93,233,0.29,2.791666667,517.32375,2.39,AUDUSD,15,0.0001,67,24,456,48,115,0.29,2.791666667,369.17,183,886.49375
356,AUDUSD,15,0.0001,55,28,723,117,204,0.36,1.964285714,511.2642857,1.88,AUDUSD,15,0.0001,55,28,500,60,100,0.38,1.964285714,373.2142857,223,884.4785714
285,AUDUSD,15,0.0001,65,24,583,95,233,0.29,2.708333333,457.8979167,1.81,AUDUSD,15,0.0001,65,24,514,50,114,0.3,2.708333333,417.625,69,875.5229167
371,AUDUSD,15,0.0001,54,31,745,120,185,0.39,1.741935484,506.1193548,2.15,AUDUSD,15,0.0001,54,31,512,60,88,0.41,1.741935484,365.6670968,233,871.7864516
300,AUDUSD,15,0.0001,56,15,539,109,371,0.23,3.733333333,462.8213333,1.33,AUDUSD,15,0.0001,56,15,455,55,175,0.24,3.733333333,407.68,84,870.5013333
353,AUDUSD,15,0.0001,40,25,750,180,258,0.41,1.6,492,1.65,AUDUSD,15,0.0001,40,25,545,88,119,0.43,1.6,374.96,205,866.96
454,AUDUSD,15,0.0001,56,31,767,115,183,0.39,1.806451613,540.363871,2.93,AUDUSD,15,0.0001,56,31,458,58,90,0.39,1.806451613,322.6683871,309,863.0322581
710,AUDUSD,15,0.0001,56,20,812,117,287,0.29,2.8,659.344,2.04,AUDUSD,15,0.0001,56,20,256,56,144,0.28,2.8,200.704,556,860.048
473,AUDUSD,15,0.0001,79,32,683,69,149,0.32,2.46875,539.57,3.52,AUDUSD,15,0.0001,79,32,397,35,74,0.32,2.46875,313.63,286,853.2
376,AUDUSD,15,0.0001,41,26,757,177,250,0.41,1.576923077,489.4296154,1.47,AUDUSD,15,0.0001,41,26,536,86,115,0.43,1.576923077,363.4492308,221,852.8788462
491,AUDUSD,15,0.0001,80,32,704,68,148,0.31,2.5,545.6,2.72,AUDUSD,15,0.0001,80,32,384,34,73,0.32,2.5,307.2,320,852.8
368,AUDUSD,15,0.0001,70,27,620,86,200,0.3,2.592592593,482.2222222,2.1,AUDUSD,15,0.0001,70,27,456,42,92,0.31,2.592592593,366.4888889,164,848.7111111
472,AUDUSD,15,0.0001,73,32,702,78,156,0.33,2.28125,528.474375,2.65,AUDUSD,15,0.0001,73,32,406,38,74,0.34,2.28125,314.90375,296,843.378125
387,AUDUSD,15,0.0001,67,27,629,92,205,0.31,2.481481481,483.8640741,2.14,AUDUSD,15,0.0001,67,27,450,45,95,0.32,2.481481481,357.3333333,179,841.1974074
563,AUDUSD,15,0.0001,77,27,684,72,180,0.29,2.851851852,565.6933333,3.16,AUDUSD,15,0.0001,77,27,323,34,85,0.29,2.851851852,267.132963,361,832.8262963
526,AUDUSD,15,0.0001,43,25,795,165,252,0.4,1.72,546.96,2.2,AUDUSD,15,0.0001,43,25,415,80,121,0.4,1.72,285.52,380,832.48
358,AUDUSD,15,0.0001,74,30,600,75,165,0.31,2.466666667,458.8,2.24,AUDUSD,15,0.0001,74,30,458,37,76,0.33,2.466666667,372.812,142,831.612
318,AUDUSD,15,0.0001,73,30,568,76,166,0.31,2.433333333,428.4613333,1.93,AUDUSD,15,0.0001,73,30,494,38,76,0.33,2.433333333,396.682,74,825.1433333
359,AUDUSD,15,0.0001,70,53,724,80,92,0.47,1.320754717,449.4264151,4.81,AUDUSD,15,0.0001,70,53,576,37,38,0.49,1.320754717,372.7698113,148,822.1962264
404,AUDUSD,15,0.0001,53,26,643,123,226,0.35,2.038461538,458.7557692,1.65,AUDUSD,15,0.0001,53,26,478,62,108,0.36,2.038461538,350.7784615,165,809.5342307
405,AUDUSD,15,0.0001,57,28,644,112,205,0.35,2.035714286,458.85,1.75,AUDUSD,15,0.0001,57,28,478,58,101,0.36,2.035714286,350.3057143,166,809.1557143
615,AUDUSD,15,0.0001,72,27,702,81,190,0.3,2.666666667,561.6,2.7,AUDUSD,15,0.0001,72,27,306,38,90,0.3,2.666666667,244.8,396,806.4
388,AUDUSD,15,0.0001,66,24,546,93,233,0.29,2.75,435.435,2.1,AUDUSD,15,0.0001,66,24,432,48,114,0.3,2.75,356.4,114,791.835
520,AUDUSD,15,0.0001,77,24,600,72,206,0.26,3.208333333,500.5,2.26,AUDUSD,15,0.0001,77,24,348,36,101,0.26,3.208333333,290.29,252,790.79
605,AUDUSD,15,0.0001,53,24,716,124,244,0.34,2.208333333,537.5966667,2.18,AUDUSD,15,0.0001,53,24,334,62,123,0.34,2.208333333,250.7783333,382,788.375
377,AUDUSD,15,0.0001,71,28,558,82,188,0.3,2.535714286,424.4785714,1.7,AUDUSD,15,0.0001,71,28,447,41,88,0.32,2.535714286,362.7085714,111,787.1871428
568,AUDUSD,15,0.0001,49,29,770,140,210,0.4,1.689655172,520.4137931,2.2,AUDUSD,15,0.0001,49,29,392,66,98,0.4,1.689655172,264.937931,378,785.3517241
537,AUDUSD,15,0.0001,55,31,731,117,184,0.39,1.774193548,505.8048387,2.54,AUDUSD,15,0.0001,55,31,400,58,90,0.39,1.774193548,276.7741935,331,782.5790322
341,AUDUSD,15,0.0001,61,45,655,100,121,0.45,1.355555556,399.55,2.7,AUDUSD,15,0.0001,61,45,588,48,52,0.48,1.355555556,382.592,67,782.142
383,AUDUSD,15,0.0001,66,50,692,87,101,0.46,1.32,420.1824,3.36,AUDUSD,15,0.0001,66,50,556,41,43,0.49,1.32,359.6208,136,779.8032
330,AUDUSD,15,0.0001,40,28,636,179,233,0.43,1.428571429,390.6857143,1.24,AUDUSD,15,0.0001,40,28,592,89,106,0.46,1.428571429,389.0285714,44,779.7142857
499,AUDUSD,15,0.0001,68,27,612,90,204,0.31,2.518518519,477.8133333,2.45,AUDUSD,15,0.0001,68,27,386,43,94,0.31,2.518518519,301.3659259,226,779.1792592
338,AUDUSD,15,0.0001,52,28,572,123,208,0.37,1.857142857,393.0457143,1.6,AUDUSD,15,0.0001,52,28,532,63,98,0.39,1.857142857,385.32,40,778.3657143
465,AUDUSD,15,0.0001,75,24,561,75,211,0.26,3.125,455.8125,1.74,AUDUSD,15,0.0001,75,24,378,38,103,0.27,3.125,318.9375,183,774.75
446,AUDUSD,15,0.0001,71,50,701,81,101,0.45,1.42,447.939,4.45,AUDUSD,15,0.0001,71,50,498,38,44,0.46,1.42,325.2936,203,773.2326
504,AUDUSD,15,0.0001,57,24,624,112,240,0.32,2.375,474.24,1.92,AUDUSD,15,0.0001,57,24,393,57,119,0.32,2.375,298.68,231,772.92
570,AUDUSD,15,0.0001,42,25,748,169,254,0.4,1.68,502.656,1.8,AUDUSD,15,0.0001,42,25,394,82,122,0.4,1.68,264.768,354,767.424
361,AUDUSD,15,0.0001,65,20,485,93,278,0.25,3.25,394.0625,1.25,AUDUSD,15,0.0001,65,20,440,48,134,0.26,3.25,371.8,45,765.8625
516,AUDUSD,15,0.0001,72,26,586,80,199,0.29,2.769230769,470.6030769,2.42,AUDUSD,15,0.0001,72,26,364,39,94,0.29,2.769230769,292.32,222,762.9230769
492,AUDUSD,15,0.0001,69,27,591,88,203,0.3,2.555555556,453.1,1.8,AUDUSD,15,0.0001,69,27,387,42,93,0.31,2.555555556,306.59,204,759.69
466,AUDUSD,15,0.0001,67,32,593,91,172,0.35,2.09375,434.5578125,2.65,AUDUSD,15,0.0001,67,32,423,45,81,0.36,2.09375,318.83625,170,753.3940625
577,AUDUSD,15,0.0001,74,24,586,77,213,0.27,3.083333333,487.845,2.46,AUDUSD,15,0.0001,74,24,316,38,104,0.27,3.083333333,263.07,270,750.915
493,AUDUSD,15,0.0001,40,27,692,182,244,0.43,1.481481481,440.8296296,1.81,AUDUSD,15,0.0001,40,27,469,88,113,0.44,1.481481481,305.7185185,223,746.5481481
513,AUDUSD,15,0.0001,39,26,715,187,253,0.42,1.5,450.45,1.3,AUDUSD,15,0.0001,39,26,455,91,119,0.43,1.5,293.475,260,743.925
394,AUDUSD,15,0.0001,64,32,544,96,175,0.35,2,380.8,1.6,AUDUSD,15,0.0001,64,32,480,49,83,0.37,2,355.2,64,736
573,AUDUSD,15,0.0001,43,26,707,167,249,0.4,1.653846154,467.7076923,1.6,AUDUSD,15,0.0001,43,26,389,81,119,0.41,1.653846154,263.7719231,318,731.4796154
719,AUDUSD,15,0.0001,55,24,706,118,241,0.33,2.291666667,533.9125,2.07,AUDUSD,15,0.0001,55,24,269,59,124,0.32,2.291666667,197.2666667,437,731.1791667
413,AUDUSD,15,0.0001,61,21,493,100,267,0.27,2.904761905,386.6528571,1.14,AUDUSD,15,0.0001,61,21,423,51,128,0.28,2.904761905,344.04,70,730.6928571
439,AUDUSD,15,0.0001,59,45,663,102,119,0.46,1.311111111,399.8626667,2.84,AUDUSD,15,0.0001,59,45,523,47,50,0.48,1.311111111,329.1413333,140,729.004
525,AUDUSD,15,0.0001,55,26,614,118,226,0.34,2.115384615,441.6076923,1.54,AUDUSD,15,0.0001,55,26,388,60,112,0.35,2.115384615,287.2692308,226,728.8769231
583,AUDUSD,15,0.0001,39,25,715,185,260,0.42,1.56,468.468,1.88,AUDUSD,15,0.0001,39,25,396,89,123,0.42,1.56,259.4592,319,727.9272
545,AUDUSD,15,0.0001,58,45,748,106,120,0.47,1.288888889,453.1217778,3.41,AUDUSD,15,0.0001,58,45,444,48,52,0.48,1.288888889,274.688,304,727.8097778
